idx,U238Pb206,errU238Pb206,Pb207Pb206,errPb207Pb206,Group
1,2.442,0.034,0.16569,0.00048,I
2,2.419,0.091,0.16686,5.10E-04,S
3,2.473,0.037,0.16689,7.30E-04,I
4,2.478,0.035,0.16747,5.90E-04,I
5,2.354,0.04,0.1677,6.00E-04,I
6,2.459,0.042,0.1678,5.80E-04,Y
7,2.298,0.038,0.16798,4.60E-04,Y
8,2.379,0.038,0.16876,3.60E-04,Y
9,2.267,0.033,0.17068,5.50E-04,Y
10,2.232,0.036,0.17083,4.10E-04,Y
11,2.302,0.022,0.17113,4.10E-04,X
12,2.238,0.037,0.17114,4.30E-04,X
13,2.155,0.035,0.1716,3.90E-04,X
14,2.168,0.036,0.17198,5.20E-04,X
15,2.254,0.037,0.17213,8.91E-03,M
